"","Location","Date","Time","Winner","Loser","Behaviour","Initiator","Comments","Preening","X"
"284","BG","08.07.22",1603,"OMG_V_BG","X48","ap[rt]","W","","",""
"285","BG","08.07.22",1605,"OMG_V_BG","X48","","","","",""
"286","BG","08.07.22",1608,"OMG_V_BG","OGMV_V_BG","","","","",""
"287","BG","08.07.22",1609,"NBG_V_BG","X48","","","","",""
"288","BG","08.07.22",1609,"OMG_V_BG","OGMV_V_BG","","","","",""
"289","CG","08.07.22",730,"PVB_H_CG","MPN_H_CG","ap.bg[ha]","W","","",""
"290","CG","08.07.22",731,"PVB_H_CG","MPN_H_CG","","","","",""
"291","CG","08.07.22",732,"PNG_H_CG","PVB_H_CG","ap[rt]","W","","",""
"292","CG","08.07.22",732,"PNG_H_CG","GPB_H_CG","ap[rt]","W","","",""
"293","CG","08.07.22",734,"GVP_H_CG","GPB_H_CG","","","","",""
"294","CG","08.07.22",735,"GVP_H_CG","X5","","","","",""
"295","CG","08.07.22",737,"GBP_H_CG","MPN_H_CG","","","","",""
"296","CG","08.07.22",737,"X5","GPN_H_CG","","","","",""
"297","CG","08.07.22",740,"BPN_H_CG","X5","","","","",""
"298","CG","08.07.22",741,"PVB_H_CG","PVG_H_CG","","","","",""
"299","CG","08.07.22",743,"PVM_H_CG","X5","ht.cd.voc[ha]","W","","",""
"300","CG","08.07.22",743,"MPN_H_CG","GPB_H_CG","cd[voc.ha]","","","",""
"301","CG","08.07.22",749,"PVM_H_CG","PGP_H_CG","","","","",""
"302","CG","08.07.22",751,"PVB_H_CG","VNG_V_BG","","","","",""
"303","CG","08.07.22",752,"GVP_H_CG","PVM_H_CG","cd[ha]ht.cd[rt]","","","",""
"304","CG","08.07.22",752,"PNB_H_CG","NBP_H_CG","cf[ha]","","","",""
"305","CG","08.07.22",753,"PVM_H_CG","PVB_H_CG","fo<1bdl","","","",""
"306","CG","08.07.22",754,"GVP_H_CG","PBG_H_CG","","","","",""
"307","CG","08.07.22",754,"PVM_H_CG","X5","","","","",""
"308","CG","08.07.22",754,"PVB_H_CG","VNG_V_BG","ap[rt]","W","","",""
"309","CG","08.07.22",757,"X11","GVP_H_CG","ap.bg[rt]","W","","",""
"310","CG","08.07.22",757,"X11","X5","","","","",""
"311","CG","08.07.22",758,"PVM_H_CG","BPN_H_CG","st[st]fl[fl.rt]","","","",""
