"","Location","Date","Time","Winner","Loser","Behaviour","Initiator","Comments","Preening","X","W_in_scans","L_in_scans"
"128","BG","09.07.22",1331,"GNV_V_BG","OB_V_BG","","","","","",TRUE,TRUE
"129","BG","09.07.22",1331,"OBMO_V_BG","GNV_V_BG","ap.bg[bg.ha]","W","","","",TRUE,TRUE
"130","BG","09.07.22",1332,"VON_V_BG","OB_V_BG","ap.st[rt]","W","","","",TRUE,TRUE
"131","BG","09.07.22",1332,"VON_V_BG","OB_V_BG","ap[ha]","W","","","",TRUE,TRUE
"132","BG","09.07.22",1337,"VON_V_BG","GNV_V_BG","","","","","",TRUE,TRUE
"133","BG","09.07.22",1338,"VON_V_BG","GBO_V_BG","ap.bi[voc.rt]","W","","","",TRUE,TRUE
"134","BG","09.07.22",1339,"VON_V_BG","OM_V_BG","","","","","",TRUE,TRUE
"135","BG","09.07.22",1341,"OBMO_V_BG","OB_V_BG","bg[rt]","","","","",TRUE,TRUE
"136","BG","09.07.22",1341,"OBMO_V_BG","VON_V_BG","bg[rt]","","","","",TRUE,TRUE
"137","BG","09.07.22",1341,"VON_V_BG","GNV_V_BG","ap.bg[voc.ha]","W","redirect ?","","",TRUE,TRUE
"138","BG","09.07.22",1341,"OBMO_V_BG","OB_V_BG","","","","","",TRUE,TRUE
"139","BG","09.07.22",1342,"OBMO_V_BG","GBV_V_BG","ap.dis[rt]","W","","","",TRUE,TRUE
"140","BG","09.07.22",1342,"OBMO_V_BG","GBV_V_BG","ap.bg[rt]","W","","","",TRUE,TRUE
"141","BG","09.07.22",1343,"VON_V_BG","GBV_V_BG","ap.bitail[tt.bg.voc]bg[fo]","W","","","",TRUE,TRUE
"142","BG","09.07.22",1345,"MB_V_BG","OB_V_BG","","","","","",TRUE,TRUE
"143","BG","09.07.22",1345,"MB_V_BG","OB_V_BG","ap[ha]","W","","","",TRUE,TRUE
"144","BG","09.07.22",1346,"MB_V_BG","OB_V_BG","","","","","",TRUE,TRUE
"145","BG","09.07.22",1347,"MB_V_BG","OB_V_BG","ap.bg[ha]","W","","","",TRUE,TRUE
"146","BG","09.07.22",1348,"MB_V_BG","OB_V_BG","bg[voc.ha]","","","","",TRUE,TRUE
"147","BG","09.07.22",1348,"MB_V_BG","GNV_V_BG","ap.bg[rt]","W","","","",TRUE,TRUE
"148","BG","09.07.22",1403,"X143","brokenWT","","","","","",TRUE,TRUE
"149","BG","09.07.22",1404,"brokenWT","X48","","","","","",TRUE,TRUE
"150","BG","09.07.22",1405,"brokenWT","BVO_V_BG","bg[ht]","","","","",TRUE,TRUE
"151","BG","09.07.22",1405,"MB_V_BG","BOGV_V_BG","fo<1bdl","","","","",TRUE,TRUE
"152","BG","09.07.22",1408,"BOGV_V_BG","VGV_V_BG","","","","","",TRUE,TRUE
"153","BG","09.07.22",1411,"OGMV_V_BG","BOGV_V_BG","ap[ig]ap.bg[voc.ha]","W","","","",TRUE,TRUE
"154","BG","09.07.22",1411,"BOGV_V_BG","brokenWT","","","","","",TRUE,TRUE
"155","BG","09.07.22",1412,"MB_V_BG","BVO_V_BG","","","","","",TRUE,TRUE
"156","BG","09.07.22",1412,"MB_V_BG","VGV_V_BG","","","","","",TRUE,TRUE
"157","BG","09.07.22",1413,"GMB_V_BG","X48","","","","","",TRUE,TRUE
"158","BG","09.07.22",1414,"OGMV_V_BG","VGV_V_BG","fo<1bdl","","","","",TRUE,TRUE
"159","BG","09.07.22",1414,"BOGV_V_BG","brokenWT","","","","","",TRUE,TRUE
"160","BG","09.07.22",1415,"VGV_V_BG","brokenWT","","","","","",TRUE,TRUE
"161","BG","09.07.22",1417,"BOGV_V_BG","VGV_V_BG","","","","","",TRUE,TRUE
"162","BG","09.07.22",1417,"BOGV_V_BG","VGV_V_BG","","","","","",TRUE,TRUE
"163","BG","09.07.22",1418,"GMB_V_BG","VGV_V_BG","tt[rt]","W","","","",TRUE,TRUE
"164","BG","09.07.22",1419,"BOGV_V_BG","X48","ht.bg[ha]","W","","","",TRUE,TRUE
"165","BG","09.07.22",1419,"BOGV_V_BG","X48","ap.dis[rt]","W","","","",TRUE,TRUE
"166","BG","09.07.22",1423,"VGV_V_BG","brokenWT","","","","","",TRUE,TRUE
"167","BG","09.07.22",1423,"VGV_V_BG","brokenWT","","",".","","",TRUE,TRUE
"168","BG","09.07.22",1423,"VGV_V_BG","brokenWT","jo.bi[voc.ha]","W","","","",TRUE,TRUE
"169","BG","09.07.22",1424,"VNM_V_BG","X143","","","","","",TRUE,TRUE
"170","BG","09.07.22",1430,"VNM_V_BG","brokenWT","[ap]bg[voc.ha]","L","","","",TRUE,TRUE
"171","BG","09.07.22",1433,"VNM_V_BG","X143","","","","","",TRUE,TRUE
"172","BG","09.07.22",1449,"ONO_V_BG","brokenWT","","","","","",TRUE,TRUE
"174","BG","09.07.22",1449,"ONO_V_BG","brokenWT","ap[rt]","W","","","",TRUE,TRUE
"176","BG","09.07.22",1453,"brokenWT","BON_V_BG","","","","","",TRUE,TRUE
"177","BG","09.07.22",1454,"OBV_V_BG","GPB_H_CG","","","","","",TRUE,TRUE
"178","BG","09.07.22",1455,"MG_V_BG","BOGV_V_BG","","","","","",TRUE,TRUE
"179","BG","09.07.22",1456,"O_V_BG","MG_V_BG","","","","","",TRUE,TRUE
"180","BG","09.07.22",1457,"brokenWT","BON_V_BG","","","","","",TRUE,TRUE
"181","BG","09.07.22",1459,"MG_V_BG","BOGV_V_BG","ap.bg[ha]ap[voc.ha]","W","","","",TRUE,TRUE
"182","BG","09.07.22",1500,"GPB_H_CG","ONO_V_BG","","","","","",TRUE,TRUE
"184","BG","09.07.22",1502,"MG_V_BG","OVB_V_BG","","","","","",TRUE,TRUE
"185","BG","09.07.22",1502,"MG_V_BG","ONO_V_BG","","","","","",TRUE,TRUE
"187","BG","09.07.22",1508,"GPB_H_CG","ONO_V_BG","","","","","",TRUE,TRUE
"188","BG","09.07.22",1509,"ONO_V_BG","MB_V_BG","bt[ha]","","","","",TRUE,TRUE
"189","BG","09.07.22",1509,"ONO_V_BG","MB_V_BG","ht[ha]","","","","",TRUE,TRUE
"190","BG","09.07.22",1510,"ONO_V_BG","OBV_V_BG","bg[rt]","","","","",TRUE,TRUE
"191","BG","09.07.22",1512,"GPB_H_CG","GNV_V_BG","bg[ha]","","","","",TRUE,TRUE
"192","BG","09.07.22",1518,"MG_V_BG","GPB_H_CG","st[st]ht.bg[ht.bg.ha]","","","","",TRUE,TRUE
"193","BG","09.07.22",1519,"BMO_V_BG","OVB_V_BG","bg[ha]","","","","",TRUE,TRUE
"194","BG","09.07.22",1520,"BMO_V_BG","BON_V_BG","ap.bg[ha]","W","","","",TRUE,TRUE
"195","BG","09.07.22",1520,"BMO_V_BG","BON_V_BG","ap.bg[ha]","W","","","",TRUE,TRUE
"196","BG","09.07.22",1520,"BMO_V_BG","OB_V_BG","","","","","",TRUE,TRUE
"197","BG","09.07.22",1521,"MG_V_BG","GNV_V_BG","","","","","",TRUE,TRUE
"198","BG","09.07.22",1522,"NO_V_BG","VGV_V_BG","tt[ha]","","","","",TRUE,TRUE
"199","BG","09.07.22",1522,"NGV_V_BG","NO_V_BG","ap.bg[ha]","W","","","",TRUE,TRUE
"200","BG","09.07.22",1522,"BMO_V_BG","OBV_V_BG","ap[tt]","W","","","",TRUE,TRUE
"201","BG","09.07.22",1524,"BMO_V_BG","OBV_V_BG","ap.bg[rt]","W","","","",TRUE,TRUE
"202","BG","09.07.22",1524,"MVO_V_BG","MV_V_BG","","","","","",TRUE,TRUE
"203","BG","09.07.22",1524,"BMO_V_BG","VGN_V_BG","","","","","",TRUE,TRUE
"204","BG","09.07.22",1525,"BMO_V_BG","VGN_V_BG","ap[rt]","W","","","",TRUE,TRUE
"205","BG","09.07.22",1525,"NVO_V_BG","MV_V_BG","","","","","",TRUE,TRUE
"206","BG","09.07.22",1525,"BMO_V_BG","OBV_V_BG","","","","","",TRUE,TRUE
"207","BG","09.07.22",1528,"OVB_V_BG","MB_V_BG","","","","","",TRUE,TRUE
"208","BG","09.07.22",1530,"BMO_V_BG","OVB_V_BG","","","","","",TRUE,TRUE
"209","BG","09.07.22",1530,"BMO_V_BG","NBM_V_BG","","","","","",TRUE,TRUE
"210","BG","09.07.22",1430,"BMO_V_BG","VGN_V_BG","ap[rt]","W","","","",TRUE,TRUE
"211","BG","09.07.22",1531,"BMO_V_BG","BNG_V_BG","ap[ha]","W","","","",TRUE,TRUE
"212","BG","09.07.22",1532,"BNG_V_BG","OVB_V_BG","ap.bg[rt]","W","","","",TRUE,TRUE
"214","BG","09.07.22",1534,"BGO_V_BG","MV_V_BG","","","","","",TRUE,TRUE
"215","BG","09.07.22",1537,"BMO_V_BG","NGV_V_BG","ap[ha]","W","","","",TRUE,TRUE
"216","BG","09.07.22",1538,"BMO_V_BG","OVB_V_BG","","","","","",TRUE,TRUE
"217","BG","09.07.22",1540,"OBV_V_BG","NVO_V_BG","","","","","",TRUE,TRUE
"218","BG","09.07.22",1541,"NGV_V_BG","MV_V_BG","","","","","",TRUE,TRUE
"219","BG","09.07.22",1542,"OBV_V_BG","NVO_V_BG","","","","","",TRUE,TRUE
"220","BG","09.07.22",1548,"NGV_V_BG","BN_V_BG","","","","","",TRUE,TRUE
"221","BG","09.07.22",1548,"BMO_V_BG","OBV_V_BG","","","","","",TRUE,TRUE
"222","BG","09.07.22",1549,"BN_V_BG","OVB_V_BG","","","","","",TRUE,TRUE
"223","BG","09.07.22",1549,"VGV_V_BG","ONO_V_BG","","","","","",TRUE,TRUE
"224","BG","09.07.22",1549,"BN_V_BG","OBV_V_BG","","","","","",TRUE,TRUE
"225","BG","09.07.22",1550,"VGV_V_BG","GNV_V_BG","","","","","",TRUE,TRUE
"226","BG","09.07.22",1553,"MB_V_BG","VBM_V_BG","","","","","",TRUE,TRUE
"227","BG","09.07.22",1553,"MB_V_BG","OB_V_BG","","","","","",TRUE,TRUE
"228","BG","09.07.22",1554,"GNV_V_BG","GPG_H_CG","","","","","",TRUE,TRUE
"229","BG","09.07.22",1554,"BOGV_V_BG","VNM_V_BG","","","","","",TRUE,TRUE
