Location,Date,Time,Winner,Loser,Behaviour,Initiator,Comments,Preening,
CG,08.07.22,758,PVM_H_CG,BPN_H_CG,st[st]fl[fl.rt],,,,
CG,08.07.22,759,11,PBG_H_CG,ap.st[st.bt]ho[voc.ha],W,,,
CG,08.07.22,800,PGP_H_CG,MPN_H_CG,,,,,
CG,08.07.22,802,PBG_H_CG,GBw_H_CG,,,,,
CG,08.07.22,803,MPN_H_CG,GVP_H_CG,,,,,
CG,08.07.22,804,11,PGP_H_CG,,,,,
CG,08.07.22,805,GVP_H_CG,NBO_H_CG,ho[voc.ha],W,,,
CG,08.07.22,805,GVP_H_CG,78,,,,,
CG,08.07.22,806,11,PGV_H_CG,ap.bg[ha],W,,,
CG,08.07.22,808,GVP_H_CG,5,,,,,
CG,08.07.22,808,MPN_H_CG,VPG_H_CG,,,,,
CG,08.07.22,809,GVP_H_CG,NBO_V_CG,ap.bi[voc.ha],W,,,
CG,08.07.22,810,GVP_H_CG,VPG_H_CG,,,,,
CG,08.07.22,812,PGV_H_CG,BPG_H_CG,ap.fl.st[ig]ap.st[rt]st[ig.bc]bc,,unresolved,,"005 joins, bc"
CG,08.07.22,815,PGP_H_CG,MPN_H_CG,ap.dis[rt],W,,,
CG,08.07.22,816,78,PGP_H_CG,,,,,
CG,08.07.22,816,PVB_H_CG,VPG_H_CG,,,,,
CG,08.07.22,817,78,GBw_H_CG,ap.bg[ha],W,,,
CG,08.07.22,817,PGP_H_CG,MPN_H_CG,,,,,
CG,08.07.22,818,GBw_H_CG,PVB_H_CG,,,,,
CG,08.07.22,819,PGV_H_CG,PVB_H_CG,ap[rt],W,,,
CG,08.07.22,820,PGV_H_CG,BPG_H_CG,,,,,
CG,08.07.22,820,78,BP_H_CG,,,,,
CG,08.07.22,820,PGV_H_CG,VPG_H_CG,,,,,
CG,08.07.22,820,BPG_H_CG,PGV_H_CG,ws[ha]ap.ws[ha],,,,
CG,08.07.22,821,PGP_H_CG,VPG_H_CG,,,,,
CG,08.07.22,822,11,PGP_H_CG,ap[rt],W,,,
CG,08.07.22,822,11,5,,,,,
CG,08.07.22,824,BPG_H_CG,PVB_H_CG,,,,,
CG,08.07.22,824,78,PGP_H_CG,,,,,
CG,08.07.22,825,MPN_H_CG,VPG_H_CG,,,,,
CG,08.07.22,826,PGP_H_CG,MPN_H_CG,ap[rt]ap[rt],W,,,
CG,08.07.22,827,11,5,,,,,
CG,08.07.22,827,GVP_H_CG,VBP_H_CG,bg.ht[ha],W,,,
CG,08.07.22,828,PGM_H_CG,BPN_H_CG,ho[ha.voc],W,,,
CG,08.07.22,829,78,BPG_H_CG,,,,,
CG,08.07.22,830,GVP_H_CG,PGP_H_CG,,,,,
CG,08.07.22,832,PGM_H_CG,GBw_H_CG,ht[ha]ht[ha],W,,,
CG,08.07.22,833,PGM_H_CG,78,fa[fa]ap.headtoss.fa[fo],WL,,,
CG,08.07.22,834,GVP_H_CG,MPN_H_CG,,,,,
CG,08.07.22,837,GBw_H_CG,VPG_H_CG,,,,,
CG,08.07.22,838,PVG_H_CG,VPG_H_CG,,,,,
CG,08.07.22,839,PVG_H_CG,VPG_H_CG,ap.bg[ha],W,,,
CG,08.07.22,839,MPN_H_CG,NBO_H_CG,ap[rt],W,,,
CG,08.07.22,842,GVP_H_CG,MPN_H_CG,ap.bg[rt],W,,,
CG,08.07.22,845,35,PVB_H_CG,fo<1bdl,,,,
CG,08.07.22,845,GVP_H_CG,NBO_H_CG,ap.bg[ha],W,,,
CG,08.07.22,845,GVP_H_CG,MPN_H_CG,,,,,
CG,08.07.22,846,35,MPN_H_CG,,,,,
CG,08.07.22,847,GVP_H_CG,BNw_H_CG,,,,,
CG,08.07.22,847,GVP_H_CG,NBO_H_CG,,,,,
CG,08.07.22,847,MPN_H_CG,NBO_H_CG,,,,,
CG,08.07.22,848,GVP_H_CG,PVB_H_CG,ht.bg[ha],W,,,
CG,08.07.22,855,GVP_H_CG,BPN_H_CG,fa[fo],W,,,
CG,08.07.22,,GVP_H_CG,PVB_H_CG,fa[fo],W,,,
CG,08.07.22,901,GVP_H_CG,PBG_H_CG,,,,,
CG,08.07.22,902,GVP_H_CG,PBG_H_CG,,,,,
CG,08.07.22,903,PBG_H_CG,VPG_H_CG,,,,,
CG,08.07.22,903,PBG_H_CG,35,fa.bg[fo],W,,,
CG,08.07.22,906,GVP_H_CG,PVM_H_CG,,,,,
CG,08.07.22,906,GVP_H_CG,GPN_H_CG,,,,,
